text,category
A crocodile can't stick its tongue out.,animals
The moon has moonquakes.,space
Humans share 60% of DNA with bananas.,humans
Napoleon was once attacked by rabbits.,history
The first computer bug was a real bug.,tech
Bananas are berries, but strawberries aren't.,food
A shrimp’s heart is in its head.,animals
There’s a species of jellyfish that lives forever.,science
Your nose can remember 50,000 scents.,humans
The Eiffel Tower can grow taller in the summer.,science
Slugs have four noses.,animals
The first oranges weren’t orange.,food
Jupiter's Great Red Spot is shrinking.,space
The internet weighs about the same as a strawberry.,tech
Ancient Egyptians used moldy bread to treat infections.,history
A day on Venus is longer than its year.,space
Octopuses have three hearts.,animals
The human brain uses 20% of the body’s energy.,humans
Popcorn was first domesticated in Mexico over 9,000 years ago.,food
The microwave was invented by accident.,tech
An octopus can taste with its arms.,animals
Water can boil and freeze at the same time.,science
The human nose can detect over 1 trillion smells.,humans
Saturn's moon Titan has lakes of liquid methane.,space
Honey never spoils — archaeologists found 3000-year-old edible honey.,food
Cleopatra lived closer to the iPhone than to the pyramids.,history
The first email was sent in 1971.,tech
Dolphins have names for each other.,animals
The sun makes up 99.8% of the mass in the solar system.,space
Spaghetti was originally eaten with hands.,food
The Great Wall of China is not visible from space.,history
Sharks existed before trees.,animals
The average person walks the equivalent of five times around the world in a lifetime.,humans
There's enough DNA in your body to stretch from the sun to Pluto and back.,science
The first webcam was used to watch a coffee pot.,tech
Tacos were invented before forks.,food
Venus rotates in the opposite direction to most planets.,space
The oldest known recipe is for beer.,history
Cows have best friends and get stressed when separated.,animals
The first hard drive could hold 5MB and weighed over a ton.,tech
